PLAYERID,NAME,CLUB,GRADE,ERA,G,W,L,SV,HLD,IP,H,HR,BB,HBP,SO
246,송창식,한화,B,4.98,66,8,5,0,8,97.667,97,10,45,10,77
455,지크,KIA,B,5.27,30,10,13,0,0,152,188,16,68,5,125
473,최영필,KIA,B,3.61,54,4,3,2,10,57.333,74,6,8,3,54
388,임창용,KIA,B,4.37,34,3,3,15,0,35,45,5,10,1,38
513,홍건희,KIA,B,4.98,50,4,4,4,5,90.333,103,10,41,1,83
37,김광수,KIA,B,5.16,54,2,6,7,14,52.333,67,5,22,0,39
496,피어밴드,kt,B,4.45,31,7,13,0,0,182,231,23,48,10,144
449,주권,kt,B,5.1,28,6,8,0,0,134,162,14,44,5,63
214,배우열,kt,B,4.02,36,1,1,1,4,40.333,47,2,18,0,29
92,김재윤,kt,B,4.97,52,8,1,14,1,54.333,61,6,15,1,73
364,이창재,kt,B,5.13,47,3,1,1,2,40.333,48,6,15,2,38
146,류제국,LG,B,4.3,29,13,11,0,0,161.333,152,14,70,21,138
288,우규민,LG,B,4.91,28,6,11,0,1,132,166,16,36,18,81
235,소사,LG,B,5.16,33,10,9,0,0,199,258,12,38,9,107
113,김지용,LG,B,3.57,51,3,4,0,17,63,52,9,18,5,56
383,임정우,LG,B,3.82,67,3,8,28,0,70.667,73,5,36,6,87
457,진해수,LG,B,4.67,75,0,4,1,17,54,57,5,37,2,54
226,봉중근,LG,B,4.95,19,1,0,0,2,36.333,41,4,22,2,20
251,신승현,LG,B,4.96,49,3,1,1,9,45.333,41,3,24,4,31
248,스튜어트,NC,B,4.56,27,12,8,0,0,150,160,11,55,8,118
24,구창모,NC,B,4.19,39,4,1,0,1,68.667,61,9,37,2,67
402,장현식,NC,B,4.48,37,1,3,0,1,76.333,68,5,43,2,59
115,김진성,NC,B,4.48,69,6,8,1,14,84.333,79,15,16,2,100
466,최금강,NC,B,5,52,11,4,2,4,108,123,13,36,8,84
38,김광현,SK,B,3.88,27,11,8,0,1,137,139,17,41,6,116
104,김주한,SK,B,4.25,39,3,1,1,2,59.333,62,6,14,4,50
461,채병용,SK,B,4.3,68,6,3,2,9,83.667,77,9,29,3,67
175,박민호,SK,B,4.91,32,0,1,0,3,36.667,40,4,9,4,18
